"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/15/2023","AirNow","060850002","3","5.3","ug/m3 LC","22","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"02/16/2023","AirNow","060850002","3","5.9","ug/m3 LC","25","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"02/17/2023","AirNow","060850002","3","6.5","ug/m3 LC","27","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"02/18/2023","AirNow","060850002","3","8","ug/m3 LC","33","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"02/19/2023","AirNow","060850002","3","8.6","ug/m3 LC","36","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"02/20/2023","AirNow","060850002","3","7.1","ug/m3 LC","30","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"02/21/2023","AirNow","060850002","3","10","ug/m3 LC","42","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"02/23/2023","AirNow","060850002","3","6.1","ug/m3 LC","25","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"02/24/2023","AirNow","060850002","3","4.7","ug/m3 LC","20","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"02/25/2023","AirNow","060850002","3","5.7","ug/m3 LC","24","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"02/26/2023","AirNow","060850002","3","6.6","ug/m3 LC","28","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"02/27/2023","AirNow","060850002","3","4.9","ug/m3 LC","20","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
